gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000226545,1,0,1,0,0,1,0,0,37,87,0,0
ENSG00000228423,4,0,0,0,0,1,8,0,0,81,1,0
ENSG00000229716,0,0,1,0,0,0,0,0,78,128,0,57
ENSG00000074800,27336,39583,41750,31432,13108,30040,54672,79167,41753,31403,6554,29966
ENSG00000236269,3,7,4,1,3,3,7,4,136,77,2,0
ENSG00000230679,7,3,7,6,4,7,14,7,0,28,8,0
ENSG00000201725,0,0,0,0,0,0,0,0,109,20,1,32
ENSG00000238249,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142583,2,2,0,3,1,1,4,5,0,0,3,47
ENSG00000180758,73,234,146,122,73,192,147,469,45,261,147,223
ENSG00000207865,0,0,2,0,1,1,0,1,0,53,1,126
ENSG00000228526,1,7,1,0,4,3,2,14,106,0,2,0
ENSG00000234546,8,66,121,14,66,44,4,133,34,0,133,0
ENSG00000049239,1915,2424,1840,2982,1258,2397,958,4849,1789,2977,2517,2471
ENSG00000171621,314,1461,670,268,666,330,628,2922,581,362,1332,432
ENSG00000171612,292,275,225,364,123,319,146,138,242,477,62,256
ENSG00000231181,6,7,8,8,4,11,3,15,95,97,8,43
ENSG00000188807,1159,1176,881,1477,920,1470,2318,2352,856,1551,460,1572
ENSG00000171608,375,2018,380,280,705,344,750,1009,270,134,1410,378
ENSG00000179840,0,1,1,0,0,0,0,2,44,79,0,0
ENSG00000231789,33,24,86,74,27,63,66,48,100,52,55,81
ENSG00000171603,6564,12613,6607,7294,6481,6630,3282,6307,6724,7418,3241,6656
ENSG00000271264,0,0,0,0,0,0,0,0,64,43,0,50
ENSG00000178585,1688,1120,1053,2959,657,3363,3377,2241,1050,2839,1315,3287
ENSG00000162441,839,630,864,885,669,957,420,1260,757,884,334,848
ENSG00000228150,3,5,7,5,4,7,6,3,0,104,2,0
ENSG00000173614,148,226,299,184,212,191,74,113,200,119,425,91
ENSG00000202415,2,0,1,0,2,1,5,1,0,0,1,0
ENSG00000162444,22,27,13,3,3,11,44,54,106,0,6,28
